@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute 1-1 numeric

@data
222,'2018/02/28 04:52:48:800',1,-655.838623,413.797882,1296.900024,?
223,'2018/02/28 04:52:48:819',1,-655.838623,413.797882,1296.900024,?
224,'2018/02/28 04:52:48:847',1,-655.838623,413.797882,1296.900024,?
225,'2018/02/28 04:52:48:851',1,-655.838623,413.797882,1296.900024,?
226,'2018/02/28 04:52:48:867',1,-655.838623,413.797882,1296.900024,?
227,'2018/02/28 04:52:48:899',1,-656.033264,413.760437,1296.782349,?
228,'2018/02/28 04:52:48:901',1,-656.033264,413.760437,1296.782349,?
229,'2018/02/28 04:52:48:933',1,-656.033264,413.760437,1296.782349,?
230,'2018/02/28 04:52:48:935',1,-656.033264,413.760437,1296.782349,?
231,'2018/02/28 04:52:48:952',1,-656.033264,413.760437,1296.782349,?
232,'2018/02/28 04:52:48:979',1,-656.033264,413.760437,1296.782349,?
233,'2018/02/28 04:52:48:999',1,-656.033264,413.760437,1296.782349,?
234,'2018/02/28 04:52:49:001',1,-656.033264,413.760437,1296.782349,?
235,'2018/02/28 04:52:49:019',1,-656.033264,413.760437,1296.782349,?
236,'2018/02/28 04:52:49:050',1,-655.989197,413.608551,1296.306152,?
237,'2018/02/28 04:52:49:052',1,-655.989197,413.608551,1296.306152,?
238,'2018/02/28 04:52:49:077',1,-655.989197,413.608551,1296.306152,?
239,'2018/02/28 04:52:49:085',1,-655.989197,413.608551,1296.306152,?
240,'2018/02/28 04:52:49:112',1,-656.311707,413.719452,1296.653442,?
241,'2018/02/28 04:52:49:119',1,-656.311707,413.719452,1296.653442,?
242,'2018/02/28 04:52:49:134',1,-656.311707,413.719452,1296.653442,?
243,'2018/02/28 04:52:49:167',1,-656.371704,413.691711,1296.566406,?
244,'2018/02/28 04:52:49:169',1,-656.371704,413.691711,1296.566406,?
245,'2018/02/28 04:52:49:197',1,-656.371704,413.691711,1296.566406,?
246,'2018/02/28 04:52:49:201',1,-656.371704,413.691711,1296.566406,?
247,'2018/02/28 04:52:49:231',1,-656.371704,413.691711,1296.566406,?
248,'2018/02/28 04:52:49:235',1,-656.371704,413.691711,1296.566406,?
249,'2018/02/28 04:52:49:267',1,-656.520813,413.743011,1296.727051,?
250,'2018/02/28 04:52:49:268',1,-656.520813,413.743011,1296.727051,?
251,'2018/02/28 04:52:49:298',1,-656.55365,413.739807,1296.716919,?
252,'2018/02/28 04:52:49:301',1,-656.55365,413.739807,1296.716919,?
253,'2018/02/28 04:52:49:330',1,-656.492004,413.692352,1296.568115,?
254,'2018/02/28 04:52:49:335',1,-656.492004,413.692352,1296.568115,?
255,'2018/02/28 04:52:49:351',1,-656.492004,413.692352,1296.568115,?
256,'2018/02/28 04:52:49:380',1,-656.492004,413.692352,1296.568115,?
257,'2018/02/28 04:52:49:384',1,-656.492004,413.692352,1296.568115,?
258,'2018/02/28 04:52:49:402',1,-656.492004,413.692352,1296.568115,?
259,'2018/02/28 04:52:49:419',1,-656.492004,413.692352,1296.568115,?
260,'2018/02/28 04:52:49:446',1,-656.492004,413.692352,1296.568115,?
261,'2018/02/28 04:52:49:452',1,-656.492004,413.692352,1296.568115,?
262,'2018/02/28 04:52:49:468',1,-656.492004,413.692352,1296.568115,?
263,'2018/02/28 04:52:49:501',1,-656.492004,413.692352,1296.568115,?
264,'2018/02/28 04:52:49:502',1,-656.492004,413.692352,1296.568115,?
265,'2018/02/28 04:52:49:534',1,-656.575134,413.748322,1296.743408,?
266,'2018/02/28 04:52:49:536',1,-656.575134,413.748322,1296.743408,?
267,'2018/02/28 04:52:49:565',1,-656.507141,413.718231,1296.64917,?
268,'2018/02/28 04:52:49:567',1,-656.507141,413.718231,1296.64917,?
269,'2018/02/28 04:52:49:598',1,-656.599365,413.796112,1296.893311,?
270,'2018/02/28 04:52:49:602',1,-656.599365,413.796112,1296.893311,?
271,'2018/02/28 04:52:49:633',1,-656.599365,413.796112,1296.893311,?
272,'2018/02/28 04:52:49:635',1,-656.599365,413.796112,1296.893311,?
273,'2018/02/28 04:52:49:664',1,-656.599365,413.796112,1296.893311,?
274,'2018/02/28 04:52:49:668',1,-656.599365,413.796112,1296.893311,?
275,'2018/02/28 04:52:49:700',1,-656.599365,413.796112,1296.893311,?
276,'2018/02/28 04:52:49:702',1,-656.599365,413.796112,1296.893311,?
277,'2018/02/28 04:52:49:733',1,-656.599365,413.796112,1296.893311,?
278,'2018/02/28 04:52:49:735',1,-656.599365,413.796112,1296.893311,?
279,'2018/02/28 04:52:49:765',1,-656.599365,413.796112,1296.893311,?
280,'2018/02/28 04:52:49:768',1,-656.599365,413.796112,1296.893311,?
281,'2018/02/28 04:52:49:799',1,-656.599365,413.796112,1296.893311,?
282,'2018/02/28 04:52:49:801',1,-656.599365,413.796112,1296.893311,?
283,'2018/02/28 04:52:49:831',1,-656.599365,413.796112,1296.893311,?
284,'2018/02/28 04:52:49:835',1,-656.599365,413.796112,1296.893311,?
285,'2018/02/28 04:52:49:864',1,-656.428284,413.712677,1296.631836,?
286,'2018/02/28 04:52:49:868',1,-656.428284,413.712677,1296.631836,?
287,'2018/02/28 04:52:49:886',1,-656.428284,413.712677,1296.631836,?
288,'2018/02/28 04:52:49:902',1,-656.428284,413.712677,1296.631836,?
289,'2018/02/28 04:52:49:918',1,-656.428284,413.712677,1296.631836,?
290,'2018/02/28 04:52:49:934',1,-656.428284,413.712677,1296.631836,?
291,'2018/02/28 04:52:49:966',1,-656.428284,413.712677,1296.631836,?
292,'2018/02/28 04:52:49:968',1,-656.428284,413.712677,1296.631836,?
293,'2018/02/28 04:52:49:985',1,-656.428284,413.712677,1296.631836,?
294,'2018/02/28 04:54:54:184',2,-605.954285,400.796783,1245.579956,?
