@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
120,'2018/02/28 01:18:10:263',1,51.363426,363.68927,1105.484985,0.335,0.021484,0.470959
121,'2018/02/28 01:18:10:277',1,51.363426,363.68927,1105.484985,0.335,0.021484,0.470959
122,'2018/02/28 01:18:10:295',1,51.363426,363.68927,1105.484985,0.335,0.021484,0.470959
123,'2018/02/28 01:18:10:311',1,51.363426,363.68927,1105.484985,0.335,0.021484,0.470959
124,'2018/02/28 01:18:10:330',1,51.363426,363.68927,1105.484985,0.335,0.021484,0.470959
125,'2018/02/28 01:18:10:343',1,51.363426,363.68927,1105.484985,0.335,0.021484,0.470959
126,'2018/02/28 01:18:10:361',1,51.363426,363.68927,1105.484985,0.335,0.021484,0.470959
127,'2018/02/28 01:18:17:341',2,839.867737,937.654663,3064.225098,0.441092,0.496355,0.36868
128,'2018/02/28 01:18:17:348',2,839.867737,937.654663,3064.225098,0.441092,0.496355,0.36868
129,'2018/02/28 01:18:17:360',2,839.867737,937.654663,3064.225098,0.441092,0.496355,0.36868
130,'2018/02/28 01:18:17:378',2,839.867737,937.654663,3064.225098,0.441092,0.496355,0.36868
131,'2018/02/28 01:18:17:409',2,860.674072,960.450562,3140.2229,0.441092,0.496355,0.36868
132,'2018/02/28 01:18:17:429',2,860.674072,960.450562,3140.2229,0.441092,0.496355,0.36868
133,'2018/02/28 01:18:17:443',2,860.674072,960.450562,3140.2229,0.441092,0.496355,0.36868
134,'2018/02/28 01:18:17:477',2,803.186707,896.03241,2930.465332,0.441092,0.496355,0.36868
135,'2018/02/28 01:18:17:495',2,803.186707,896.03241,2930.465332,0.441092,0.496355,0.36868
136,'2018/02/28 01:18:17:512',2,803.186707,896.03241,2930.465332,0.441092,0.496355,0.36868
137,'2018/02/28 01:18:17:527',2,803.186707,896.03241,2930.465332,0.441092,0.496355,0.36868
138,'2018/02/28 01:18:17:543',2,803.186707,896.03241,2930.465332,0.441092,0.496355,0.36868
139,'2018/02/28 01:18:17:578',2,751.873474,840.046326,2748.155273,0.441092,0.496355,0.36868
140,'2018/02/28 01:18:17:594',2,751.873474,840.046326,2748.155273,0.441092,0.496355,0.36868
141,'2018/02/28 01:18:17:626',2,708.963379,791.792603,2591.009521,0.441092,0.496355,0.36868
142,'2018/02/28 01:18:17:660',2,744.903503,833.807251,2729.307373,0.441092,0.496355,0.36868
143,'2018/02/28 01:18:17:668',2,744.903503,833.807251,2729.307373,0.441092,0.496355,0.36868
144,'2018/02/28 01:18:17:677',2,744.903503,833.807251,2729.307373,0.441092,0.496355,0.36868
145,'2018/02/28 01:18:17:694',2,744.903503,833.807251,2729.307373,0.441092,0.496355,0.36868
